id;flow;type;actor;EN;AR
NODEL-fa753316-8cc1-4fb7-ad8c-1718630464116-e9-a4;Tutorial;Text;Tutor;Let me see if you learned: climb the stairs and get that coin!;دعني أرى ما إذا كنت قد تعلمت: اصعد السلالم واحصل على تلك العملة!
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4;Tutorial;Text;Tutor;Welcome to the Tutorial. Touch this text to hear it in your language.;مرحبًا بك في البرنامج التعليمي. المس هذا النص لسماعه بلغتك.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456;Tutorial;Text;Tutor;Use your left finger to walk.;استخدم إصبعك الأيسر للمشي.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f;Tutorial;Text;Tutor;Use your right finger to move the camera.;استخدم إصبعك الأيمن لتحريك الكاميرا.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e;Tutorial;Text;Tutor;Use this button to jump.;استخدم هذا الزر للقفز.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6;Tutorial;Text;Tutor;Use this button to run.;استخدم هذا الزر للركض.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac;Tutorial;Text;Tutor;Explore all objects that have this icon.;استكشف جميع الكائنات التي تحتوي على هذا الرمز.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1;Tutorial;Text;Tutor;This button opens the map!;يفتح هذا الزر الخريطة!
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1-18-a7;Tutorial;Text;Tutor;Take all biscuits you find. They can be useful;خذ كل البسكويت الذي تجده. يمكن أن تكون مفيدة
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1-18-a7-ba-9c;Tutorial;Text;Tutor;Try to push this ball.;حاول دفع هذه الكرة.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-79-81;Tutorial;Text;Tutor;If you get lost, follow this icon.;إذا ضللت الطريق، اتبع هذه الأيقونة.
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4-6a-9d;Tutorial;Text;Tutor;Use this button to advance the dialog.;استخدم هذا الزر للذهاب
NODEL-6c9e66a0-3468-4abc-b08e-1740322032875;Tutorial;Text;Tutor;Use this button to view the photo;استخدم هذا الزر لعرض الصورة
NODEL-ffba009d-dbf0-4c1d-a538-1740350493163;Tutorial;Text;Tutor;Use this button to talk or interact;استخدم هذا الزر للتحدث أو التفاعل
NODEL-38c4f096-46fe-4c17-ba13-1740139400084;FR-01 Paris;Text;Tutor;Welcome to Paris;مرحباً بك في باريس
NODEL-fe28f97a-f312-4304-a955-1710891409330;FR-01 Paris;Text;Teacher;This is the entrance of The Louvre, our national museum of arts.;هذا هو مدخل متحف اللوفر، متحفنا الوطني للفنون.
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361;FR-01 Paris;Text;Guide;The Eiffel Tower is 300 meters tall;يبلغ ارتفاع برج إيفل 300 متر
NODEL-5723adea-4f6c-4883-b93a-1710930693267;FR-01 Paris;Text;woman;Sure!;بالتأكيد!
NODEL-cb2a2e07-828e-4b09-aae5-1710930705800;FR-01 Paris;Text;woman;Why are you asking?;لماذا تسأل؟
