id;flow;type;actor;EN;FR
NODEL-77392788-1d8b-4070-be9f-1728494736516;Tutorial;Text;Tutor;the door open and closes;la porte s'ouvre et se ferme
NODEL-fa753316-8cc1-4fb7-ad8c-1718630464116-e9-a4;Tutorial;Text;Tutor;Let me see if you learned: climb the stairs and get that coin!;Voyons si vous avez appris : montez les escaliers et récupérez cette pièce !
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4;Tutorial;Text;Tutor;Welcome to the Tutorial. Touch this text to hear it in your language.;Bienvenue dans le didacticiel. Touchez ce texte pour l'entendre dans votre langue.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456;Tutorial;Text;Tutor;Use your left finger to walk.;Utilisez votre doigt gauche pour marcher.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f;Tutorial;Text;Tutor;Use your right finger to move the camera.;Utilisez votre doigt droit pour déplacer la caméra.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e;Tutorial;Text;Tutor;Use this button to jump.;Utilisez ce bouton pour sauter.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6;Tutorial;Text;Tutor;Use this button to run.;Utilisez ce bouton pour courir.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac;Tutorial;Text;Tutor;Explore all objects that have this icon.;Explore tous les objets qui ont cette icône.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1;Tutorial;Text;Tutor;This button opens the map!;Ce bouton ouvre la carte !
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1-18-a7;Tutorial;Text;Tutor;Take all biscuits you find. They can be useful;Prends tous les biscuits que tu trouves. Ils peuvent être utiles
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1-18-a7-ba-9c;Tutorial;Text;Tutor;Try to push this ball.;Essaie de pousser cette balle.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-79-81;Tutorial;Text;Tutor;If you get lost, follow this icon.;Si tu te perds, suis cette icône.
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4-6a-9d;Tutorial;Text;Tutor;Use this button to to go.;Utilise ce bouton pour partir.
NODEL-38c4f096-46fe-4c17-ba13-1740139400084;FR-01 Paris;Text;Tutor;Welcome to Paris;Bienvenue à Paris
NODEL-fe28f97a-f312-4304-a955-1710891409330;FR-01 Paris;Text;Teacher;This is the entrance of The Louvre, our national museum of arts.;Voici l'entrée du Louvre, notre musée national des arts.
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361;FR-01 Paris;Text;Guide;The Eiffel Tower is 300 meters tall;La Tour Eiffel mesure 300 mètres de haut
NODEL-5723adea-4f6c-4883-b93a-1710930693267;FR-01 Paris;Text;woman;Sure!;Bien sûr !
NODEL-cb2a2e07-828e-4b09-aae5-1710930705800;FR-01 Paris;Text;woman;Why are you asking?;Pourquoi cette question ?
