id;flow;type;actor;EN;IT
NODEL-fa753316-8cc1-4fb7-ad8c-1718630464116-e9-a4;Tutorial;Text;Tutor;Let me see if you learned: climb the stairs and get that coin!;Vediamo se avete imparato: salite le scale e prendete la moneta!
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4;Tutorial;Text;Tutor;Welcome to the Tutorial. Touch this text to hear it in your language.;Benvenuti al Tutorial. Toccate questo testo per ascoltarlo nella vostra lingua.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456;Tutorial;Text;Tutor;Use your left finger to walk.;Usate il dito sinistro per camminare.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f;Tutorial;Text;Tutor;Use your right finger to move the camera.;Usate il dito destro per muovere la telecamera.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e;Tutorial;Text;Tutor;Use this button to jump.;Usate questo pulsante per saltare.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6;Tutorial;Text;Tutor;Use this button to run.;Usare questo pulsante per correre.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac;Tutorial;Text;Tutor;Explore all objects that have this icon.;Esplora tutti gli oggetti che hanno questa icona.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1;Tutorial;Text;Tutor;This button opens the map!;Questo pulsante apre la mappa!
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1-18-a7;Tutorial;Text;Tutor;Take all biscuits you find. They can be useful;Prendete tutti i biscotti che trovate. Possono essere utili
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-ba-b1-18-a7-ba-9c;Tutorial;Text;Tutor;Try to push this ball.;Cercate di spingere questa palla.
NODEL-71d863bf-7fd0-454f-bde2-1740245910456-da-9f-78-8e-5a-b6-c8-ac-79-81;Tutorial;Text;Tutor;If you get lost, follow this icon.;Se vi perdete, seguite questa icona.
1ad6a268-a08a-44a8-a7ae-1652618922208-e9-a4-6a-9d;Tutorial;Text;Tutor;Use this button to advance the dialog.;Usa questo pulsante per andare avanti.
NODEL-6c9e66a0-3468-4abc-b08e-1740322032875;Tutorial;Text;Tutor;Use this button to view the photo;Utilizzare questo pulsante per visualizzare la foto
NODEL-38c4f096-46fe-4c17-ba13-1740139400084;FR-01 Paris;Text;Tutor;Welcome to Paris;Benvenuti a Parigi
NODEL-fe28f97a-f312-4304-a955-1710891409330;FR-01 Paris;Text;Teacher;This is the entrance of The Louvre, our national museum of arts.;Questo è l'ingresso del Louvre, il nostro museo nazionale delle arti.
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361;FR-01 Paris;Text;Guide;The Eiffel Tower is 300 meters tall;La Torre Eiffel è alta 300 metri.
NODEL-5723adea-4f6c-4883-b93a-1710930693267;FR-01 Paris;Text;woman;Sure!;Certo!
NODEL-cb2a2e07-828e-4b09-aae5-1710930705800;FR-01 Paris;Text;woman;Why are you asking?;Perché me lo chiedi?
NODEL-054a099c-3b64-4154-a8b8-1712008446095;FR-01 Paris;Text;woman;Well.. it seems like a videogame, isn't it?;Beh... sembra un videogioco, non è vero?
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361-c9-aa;FR-01 Paris;Text;Guide;Hello. The ticket for the Tour Eiffel costs 3 coins.;Ciao. Il biglietto per la Tour Eiffel costa 3 monete.
NODEL-347a6af4-a8ae-4e23-b995-1710935631414;FR-01 Paris;Text;Tutor;Collect all coins!;Raccogli tutte le monete!
NODHD-2c2ce3c6-a992-4ddf-ab6b-1712008911691;FR-01 Paris;Node Header;woman;Ciao. What do you want to know?;Ciao. Cosa vuoi sapere?
NODEL-ad9f781a-fbe4-4c9f-a8bb-1712008911691;FR-01 Paris;Choice;woman;What is the Eiffel Tower?;Cos'è la Torre Eiffel?
NODEL-d7d20660-68bd-4d95-8a05-1712008940440;FR-01 Paris;Choice;woman;Where are we?;Dove siamo?
NODEL-737c811d-7a1d-485e-b0eb-1712008942785;FR-01 Paris;Choice;woman;Is this place real?;Questo posto è reale?
NODEL-f3aa4401-331a-4459-9734-1719036941721;FR-01 Paris;Choice;woman;Nothing. Bye.;Niente. Ciao.
NODEL-b4c96a33-20ea-49d8-85bb-1712008976099;FR-01 Paris;Text;woman;The famous iron tower 300 meters tall. The symbol of Paris!;La famosa torre di ferro alta 300 metri. Il simbolo di Parigi!
NODEL-8d092ee4-1ec6-4927-a7ff-1712008981954;FR-01 Paris;Text;woman;We are in Paris! the city of;Siamo a Parigi! La città di
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2;FR-01 Paris;Text;Cook;This is flour;Questa è farina
NODEL-8ab110b4-081d-43da-a59b-1712331010391;FR-01 Paris;Text;Guide;Build by Mr Eiffell in 1887;Costruita dal signor Eiffell nel 1887
NODEL-d2abdba6-3598-4227-9f06-1718630702075;FR-01 Paris;Text;Tutor;Get there as soon as possibile!;Arrivateci il prima possibile!
NODEL-063e20a2-44e3-40db-83d0-1718631089406;FR-01 Paris;Text;Tutor;I saw Antura going to the Tour Eiffel. If you don't know where to go, follow the light beam in the sky or use the map!;Ho visto Antura andare alla Tour Eiffel. Se non sai dove andare, segui il fascio di luce nel cielo o usa la mappa!
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652;FR-01 Paris;Text;Cook;Help me! Antura has messed my kitchen and i can't find the ingredients to make the Baguette, our special french bread!;Aiutatemi! Antura ha messo a soqquadro la mia cucina e non riesco a trovare gli ingredienti per fare la Baguette, il nostro speciale pane francese!
NODEL-59ce79ca-2742-4081-ab69-1718640800362;FR-01 Paris;Text;Major;I'm the Mayor of Paris. And this is the Notre Dame Cathedral;Sono il sindaco di Parigi. E questa è la Cattedrale di Notre Dame
NODEL-19388fab-c715-4e7a-a847-1718884797577;FR-01 Paris;Text;man;I'm going to work!;Vado a lavorare!
NODEL-e1f1da80-5725-4989-bd53-1718884830938;FR-01 Paris;Text;man;I'm going to buy bread at the bakery.;Vado a comprare il pane in panetteria.
NODEL-abb2227d-8d55-4144-9a4f-1718884817143-ca-b1;FR-01 Paris;Text;man;I wasn't born in this country.;Non sono nato in questo Paese.
NODEL-e1f1da80-5725-4989-bd53-1718884830938-ca-b1;FR-01 Paris;Text;man;From planet earth.;Dal pianeta Terra.
NODEL-0ef8fabd-ab1d-4909-a3da-1718640711652-2b-a9;FR-01 Paris;Text;Cook;Please bring me the 4 ingredients needed: flour, water, yeast and salt.;Per favore, portatemi i 4 ingredienti necessari: farina, acqua, lievito e sale.
