id;flow;type;actor;EN;FR
NODEL-fe28f97a-f312-4304-a955-1710891409330;FR-01 Eiffel Tower;Text;Teacher;This is the entrance of The Louvre, our national museum of arts.;C'est l'entrée du Louvre, notre musée national des arts.
NODHD-504f5b3c-6b24-4b17-a5cc-1719132513272;FR-01 Eiffel Tower;Node Header;Teacher;Do you want to enter?;Voulez-vous entrer?
NODEL-4d0069e6-7668-4201-b4a3-1719132513271;FR-01 Eiffel Tower;Choice;Teacher;Yes;Oui
NODEL-600d06c5-ffb8-422b-b2d2-1719132536285;FR-01 Eiffel Tower;Choice;Teacher;No;Non
NODEL-6722e661-da10-4749-92c4-1719132852926;FR-01 Eiffel Tower;Text;Teacher;Good visit!;Bonne visite !
1ad6a268-a08a-44a8-a7ae-1652618922208;FR-01 Eiffel Tower;Text;Tutor;Welcome to Paris! First you have to learn how to move around.;Bienvenue à Paris! Il faut d’abord apprendre à se déplacer.
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361;FR-01 Eiffel Tower;Text;Guide;The Eiffel Tower is 300 meters tall;La Tour Eiffel mesure 300 mètres de haut
NODEL-5723adea-4f6c-4883-b93a-1710930693267;FR-01 Eiffel Tower;Text;NPG_F;Sure!;Bien sûr!
NODEL-cb2a2e07-828e-4b09-aae5-1710930705800;FR-01 Eiffel Tower;Text;NPG_F;Why are you asking?;Pourquoi demandes-tu?
NODEL-054a099c-3b64-4154-a8b8-1712008446095;FR-01 Eiffel Tower;Text;NPG_F;Well.. it seems like a videogame, isn't it?;Eh bien… cela ressemble à un jeu vidéo, n'est-ce pas ?
NODEL-4166dc79-0c63-4ce2-bbe1-1710913364361-c9-aa;FR-01 Eiffel Tower;Text;Guide;Hello. The ticket for the Tour Eiffel costs 3 coins.;Bonjour. Le billet pour la Tour Eiffel coûte 3 pièces.
NODEL-347a6af4-a8ae-4e23-b995-1710935631414;FR-01 Eiffel Tower;Text;Tutor;This is a custom action from an Isolated Node!;Il s'agit d'une action personnalisée provenant d'un nœud isolé !
NODHD-2c2ce3c6-a992-4ddf-ab6b-1712008911691;FR-01 Eiffel Tower;Node Header;NPG_F;Ciao. What do you want to know?;Ciao. Que veux-tu savoir?
NODEL-ad9f781a-fbe4-4c9f-a8bb-1712008911691;FR-01 Eiffel Tower;Choice;NPG_F;What is the Eiffel Tower?;Qu'est-ce que la Tour Eiffel ?
NODEL-d7d20660-68bd-4d95-8a05-1712008940440;FR-01 Eiffel Tower;Choice;NPG_F;Where are we?;Où sommes-nous?
NODEL-737c811d-7a1d-485e-b0eb-1712008942785;FR-01 Eiffel Tower;Choice;NPG_F;Is this place real?;Cet endroit est-il réel ?
NODEL-f3aa4401-331a-4459-9734-1719036941721;FR-01 Eiffel Tower;Choice;NPG_F;Nothing. Bye.;Rien. Au revoir.
NODEL-b4c96a33-20ea-49d8-85bb-1712008976099;FR-01 Eiffel Tower;Text;NPG_F;The famous iron tower 300 meters tall. The symbol of Paris!;La célèbre tour de fer de 300 mètres de haut. Le symbole de Paris !
NODEL-8d092ee4-1ec6-4927-a7ff-1712008981954;FR-01 Eiffel Tower;Text;NPG_F;We are in Paris! the city of love!;Nous sommes à Paris ! la ville de l'amour!
NODEL-347a6af4-a8ae-4e23-b995-1710935631414-fb-b2;FR-01 Eiffel Tower;Text;Cook;This is the flour;C'est la farine
NODEL-8ab110b4-081d-43da-a59b-1712331010391;FR-01 Eiffel Tower;Text;Guide;Build by Mr Eiffell in 1887;Construit par M. Eiffell en 1887
NODEL-fa753316-8cc1-4fb7-ad8c-1718630464116;FR-01 Eiffel Tower;Text;Tutor;Let me see if you learned: climb the stairs and get that coin!;Laissez-moi voir si vous avez appris : montez les escaliers et récupérez cette pièce !
NODHD-78be6ab6-6044-4503-a0ee-1718630592780;FR-01 Eiffel Tower;Node Header;Tutor;Great! Are you ready for your first real mission?;Super! Êtes-vous prêt pour votre première vraie mission ?
NODEL-7a998f6a-b972-40d9-a1ff-1718630592780;FR-01 Eiffel Tower;Choice;Tutor;Yes!;Oui!
NODEL-2a7100ef-d91c-4280-9d19-1718631126864;FR-01 Eiffel Tower;Choice;Tutor;No! I want to play around.;Non! Je veux jouer.
NODEL-d2abdba6-3598-4227-9f06-1718630702075;FR-01 Eiffel Tower;Text;Tutor;Get there as soon as possibile!;Arrivez le plus tôt possible !
NODEL-063e20a2-44e3-40db-83d0-1718631089406;FR-01 Eiffel Tower;Text;Tutor;I saw Antura going to the Tour Eiffel. If you don't know where to go, follow the light beam in the sky or use the map!;J'ai vu Antura se rendre à la Tour Eiffel. Si vous ne savez pas où aller, suivez le faisceau lumineux dans le ciel ou utilisez la carte !
NODEL-850f9e47-e916-494c-877a-1718631244833;FR-01 Eiffel Tower;Text;Tutor;Ok. Talk to me again when you will be ready.;D'accord. Parlez-moi encore quand vous serez prêt.
